psi_index,prs_index,avgInfected
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
0,20,0.0
0,21,0.0
0,22,0.0
0,23,0.0
0,24,0.0
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,2.3080960000000002e-05
5,21,0.0
5,22,0.0
5,23,2.8677439999999997e-05
5,24,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0004132264
6,13,0.00010092208
6,14,0.00021494576
6,15,0.00059968016
6,16,0.0
6,17,9.438832e-05
6,18,1.902544e-05
6,19,0.0001671656
6,20,0.00015265903999999998
6,21,0.0010428336
6,22,0.00134494416
6,23,0.00207948016
6,24,0.00263190096
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.00014599312
7,9,0.00134385952
7,10,0.001146588
7,11,0.0003793168
7,12,0.0019682664
7,13,0.013433461600000002
7,14,0.01133993216
7,15,0.00686437104
7,16,0.04829408288
7,17,0.06583317232000001
7,18,0.05188214544
7,19,0.07319351744000001
7,20,0.08327802448
7,21,0.10729630048
7,22,0.10315457216
7,23,0.11004155344000001
7,24,0.11160153744
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.00021689664
8,6,0.00042541903999999996
8,7,0.01748188768
8,8,0.0331304344
8,9,0.03649037776
8,10,0.069360136
8,11,0.0839486728
8,12,0.10422253104
8,13,0.11161825632
8,14,0.1283485616
8,15,0.13659416384
8,16,0.15280806176
8,17,0.15448200992
8,18,0.16442202304
8,19,0.16941806656000002
8,20,0.1825794072
8,21,0.18348236368
8,22,0.18775530768
8,23,0.19492067168000002
8,24,0.19820929504
9,0,0.0
9,1,0.0
9,2,0.0
9,3,0.0008458980800000001
9,4,0.00036273664
9,5,0.0024675683200000003
9,6,0.0439964984
9,7,0.07825863664
9,8,0.10107150576
9,9,0.12229945392
9,10,0.13285249488
9,11,0.15408284096
9,12,0.1670408312
9,13,0.17524860096
9,14,0.18834394224
9,15,0.19698701712
9,16,0.2064298688
9,17,0.21268508192
9,18,0.22015604208
9,19,0.22561192848
9,20,0.231119584
9,21,0.23528898528
9,22,0.23989322736
9,23,0.24631240016000003
9,24,0.24948557648
10,0,0.0
10,1,0.0
10,2,0.0
10,3,0.00094020688
10,4,0.03144640496
10,5,0.06702407728
10,6,0.09513202112000001
10,7,0.12005031744
10,8,0.14199586704
10,9,0.16304093632
10,10,0.17589911648
10,11,0.19119400943999998
10,12,0.20315831264
10,13,0.2119709432
10,14,0.22501314143999998
10,15,0.23660089344
10,16,0.24219318352
10,17,0.24871673872000002
10,18,0.25852793184
10,19,0.26187726544
10,20,0.26856810016
10,21,0.27343700208
10,22,0.27920634
10,23,0.2849181616
10,24,0.2881984936
11,0,0.0
11,1,0.0
11,2,0.0
11,3,0.0223482256
11,4,0.06448864832000001
11,5,0.09406120752000001
11,6,0.1215357064
11,7,0.14638225424
11,8,0.17183343807999998
11,9,0.18914913632
11,10,0.20689696736000002
11,11,0.21941600048
11,12,0.23223535631999997
11,13,0.2434377816
11,14,0.25485792304
11,15,0.26518978511999997
11,16,0.27252914752
11,17,0.28015124288000004
11,18,0.28609748432000004
11,19,0.29349215664
11,20,0.2994844552
11,21,0.3046741984
11,22,0.30925985824
11,23,0.31670729184
11,24,0.32021886592
12,0,0.0
12,1,0.0
12,2,0.0
12,3,0.0488764968
12,4,0.08350968928
12,5,0.11420752528
12,6,0.14420546208
12,7,0.16779548176
12,8,0.18951747472
12,9,0.21087795408
12,10,0.22567505999999998
12,11,0.2423060536
12,12,0.25330136816
12,13,0.26618343104000003
12,14,0.27852852944
12,15,0.28810393968
12,16,0.29702724736
12,17,0.30318615952
12,18,0.31124520672
12,19,0.3183896824
12,20,0.3228572024
12,21,0.3284775632
12,22,0.33613174768
12,23,0.33934257568
12,24,0.3456291096
13,0,0.0
13,1,0.0
13,2,0.028892844
13,3,0.06133643264
13,4,0.09891396928
13,5,0.12944662176
13,6,0.15874075968
13,7,0.18555192624
13,8,0.20697497727999997
13,9,0.22828820288
13,10,0.24554907456
13,11,0.25905885568
13,12,0.27194770496000004
13,13,0.28570465215999996
13,14,0.29700403072
13,15,0.30516594832
13,16,0.3149345656
13,17,0.32287095424
13,18,0.33085905456
13,19,0.33820692144
13,20,0.34529086591999997
13,21,0.34885092656
13,22,0.3551597272
13,23,0.36048878672
13,24,0.36491006303999995
14,0,0.0
14,1,0.0
14,2,0.04072826096
14,3,0.07317942528
14,4,0.10886844479999999
14,5,0.14328485359999998
14,6,0.17067304816
14,7,0.19807544944000002
14,8,0.22317344911999998
14,9,0.23903918144
14,10,0.2588914184
14,11,0.2747285232
14,12,0.28837427039999997
14,13,0.30230499648
14,14,0.31269759584
14,15,0.32140771328
14,16,0.33218075408
14,17,0.33978511792
14,18,0.34868591136
14,19,0.35520158624000003
14,20,0.36209590144
14,21,0.3678434752
14,22,0.37192421424
14,23,0.37849010864
14,24,0.38277935984
15,0,0.0
15,1,0.0
15,2,0.04344826944
15,3,0.08157670544
15,4,0.12018062096000001
15,5,0.15275428944
15,6,0.18295040031999998
15,7,0.208636352
15,8,0.23304702848000003
15,9,0.2543131888
15,10,0.27217723408
15,11,0.28767771552
15,12,0.2995790984
15,13,0.31517686272
15,14,0.32567617904
15,15,0.33596781904
